,Source,Destination,Flow_Path,Total_Measured_Latency_ms,Total_Geo_Latency_ms,Delta_Latency_ms,Representative_Flow_ID,Occurrence_Count,Multiple_Paths
754,UURWMEA120,DK_WGHTPAFB_OH,"UURWMEA120 -> UJEWMEA030 ->(0.5, N/A)-> UJEWMEA040 ->(2.5, 0.64)-> UJPWMEC010 -> [UJP_MESH] -> UJPWWPA010 ->(0.34, N/A)-> UJEWWPA030 -> DK_WGHTPAFB_OH",3.335,0.64,0.0,1:MaA50U1BQ9j4SmWrSGC70oHXeb0=,3,False
755,UURWMEA120,DK_WICHITA_KS,"UURWMEA120 -> UJEWMEA030 ->(0.5, N/A)-> UJEWMEA040 ->(2.5, 0.64)-> UJPWMEC010 -> [UJP_MESH] -> UJPWWPA010 ->(0.34, N/A)-> UJEWWPA030 ->(0.5, N/A)-> UJEWWPA040 -> DK_WICHITA_KS",3.835,0.64,0.0,1:H/KUtxPu5UmoAlnh4uqNuOn5rus=,3,False
756,UURWMEA120,DK_WNDSRLKS_CT,"UURWMEA120 -> UJEWMEA030 ->(0.5, N/A)-> UJEWMEA040 ->(2.0, 0.82)-> UJEWPHI030 -> DK_WNDSRLKS_CT",2.5,0.82,0.0,1:QVo98KNaU+Dpj9XM9Z/XxeNsBhU=,3,False
757,UURWMEA120,DK_WOBURN_MA,"UURWMEA120 -> UJEWMEA030 ->(0.5, N/A)-> UJEWMEA040 ->(5.0, 2.98)-> UJEWHAN030 -> DK_WOBURN_MA",5.5,2.98,0.0,1:4sHJyrkvmqKUmpPSWPnWUULosUw=,3,False
758,UURWMEA120,DK_YORK_PA,"UURWMEA120 -> UJEWMEA030 ->(0.5, N/A)-> UJEWMEA040 ->(2.0, 0.82)-> UJEWPHI030 -> DK_YORK_PA",2.5,0.82,0.0,1:R8NbNvJrRu57EBNNSYIz2mcZEkA=,6,False
759,UURWMEA120,DR_FTBELVOR_VA,"UURWMEA120 -> UJEWMEA030 ->(0.5, 0.18)-> UJPWPNT010 -> [UJP_MESH] -> UJPWBEL010 ->(0.34, N/A)-> UJEWBEL030 -> DR_FTBELVOR_VA",0.845,0.18,0.0,1:+AtxMA0F1KjGsiY6KIvjB6EuaUM=,5,False
760,UURWMEA120,DX_BEASMLSB_GB,"UURWMEA120 -> UJEWMEA030 ->(0.5, N/A)-> UJEWMEA040 ->(2.5, 0.64)-> UJPWMEC010 -> [UJP_MESH] -> UJPEETM010 ->(2.4, 1.0)-> UJEEMEN030 -> DX_BEASMLSB_GB",5.404999999999999,1.6400000000000001,0.0,1:Zds2NoAOevW/dXWTRM1OI/VssBs=,3,False
761,UURWMEA120,DX_JKSVLNAS_FL,"UURWMEA120 -> UJEWMEA030 ->(0.5, 0.18)-> UJPWPNT010 -> [UJP_MESH] -> UJPWBRA010 ->(0.38, N/A)-> UJEWBRA030 ->(6.5, 3.0)-> UJEWJKV030 -> DX_JKSVLNAS_FL",7.375,3.18,0.0,1:CXCryJnALglniAf03yKBcOBhiuc=,3,False
762,UURWMEA120,DX_WYTON_GB,"UURWMEA120 -> UJEWMEA030 ->(0.5, N/A)-> UJEWMEA040 ->(2.5, 0.64)-> UJPWMEC010 -> [UJP_MESH] -> UJPEETM010 ->(0.39, N/A)-> UJEEETM030 -> DX_WYTON_GB",3.39,0.64,0.0,1:Ad7167KyhE7c4ljmy2Uw/gW4B4M=,3,False
763,UURWMEA120,UURWMEA110,"UURWMEA120 -> UJEWMEA030 ->(0.5, N/A)-> UJEWMEA040 -> UURWMEA110",0.5,0.0,0.0,1:hyBFdR0T1jPE/X7eRT1fLDX4aa4=,2,False
764,UURWMEA440,UURWMEA110,UURWMEA440 -> UJEWMEA040 -> UURWMEA110,0.0,0.0,0.0,1:+3RC/SnXuOheRN5Wt8R1lRlnvkE=,100,False
